Temperature,Humidity,Water Level,Status
27.1,80,1.6,1
27.1,80,1.6,1
27.1,80,1.6,1
27.1,80,1.6,1
27.1,82,1.6,1
27.1,82,1.6,1
27.1,82,1.6,1
27.1,82,1.6,1
27.1,82,1.6,1
27.1,82,1.6,1
27.1,82,1.6,1
28.1,82,1.6,1
28.1,82,1.6,1
28.1,82,1.6,1
28.1,82,1.6,1
28,82,1.6,1
28.2,82,1.6,1
28.2,81,1.6,1
28.2,81,1.6,1
28.2,81,1.6,1
28.3,81,1.6,1
28.3,81,1.6,1
28.7,81,1.6,1
28.7,81,1.6,1
28.7,81,1.6,1
28.7,81,1.6,1
28.7,81,1.6,1
29.2,81,1.6,1
29.2,81,1.6,1
29.6,81,1.6,1
29.6,79,1.6,1
29.6,79,1.6,1
29.6,79,1.6,1
29.6,79,1.6,1
29.6,79,1.6,1
29.6,79,1.6,1
29.8,79,1.6,1
29.8,79,1.6,1
29.8,79,1.6,1
29.8,79,1.6,1
29.5,79,1.6,1
29.5,79,1.6,1
29.5,79,1.6,1
29.4,79,1.6,1
29.4,79,1.6,1
29.4,79,1.6,1
29.4,79,1.6,1
29.4,79,1.6,1
29.4,79,1.6,1
29.3,78,1.6,1
29.3,78,1.6,1
29.3,78,1.6,1
29.3,78,1.6,1
29.3,78,1.6,1
28.6,78,1.6,1
28.6,78,1.6,1
28.6,78,1.6,1
28.6,78,1.6,1
28.6,78,1.6,1
28.4,78,1.6,1
28.4,78,1.6,1
28.4,78,1.6,1
28,78,1.6,1
28,78,1.6,1
27.3,78,1.6,1
27.3,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.4,79,1.6,1
27.5,79,1.6,1
27.4,79,1.6,1
27.4,80,1.6,1
27.4,80,1.6,1
27.4,80,1.6,1
27.4,80,1.6,1
27.4,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
27.3,80,1.6,1
